id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,online_booking,mobile_site_booking,from_lat,from_long,to_lat,to_long
132516,22179,12,0,2,1096,393,0,0,0,0,12.96519,77.71932,13.19956,77.70688
132529,22187,65,0,2,1061,393,0,0,0,0,12.924878,77.566255,13.19956,77.70688
132532,23180,12,0,2,1192,353,0,0,0,0,12.97677,77.5727,13.03241,77.59914
132547,30849,12,0,2,515,849,0,0,0,0,12.97896,77.67345,12.95434,77.60072
132548,22198,12,0,2,83,463,0,0,0,0,12.92415,77.67229,12.96037,77.58132
132549,22199,12,0,2,1052,393,0,0,0,0,12.912695,77.576265,13.19956,77.70688
132554,12997,12,0,2,1330,590,0,0,0,0,12.953434,77.70651,13.00826,77.56433
132560,20380,12,0,2,1068,1384,0,0,0,0,13.044009,77.606805,13.02853,77.54625
132562,21635,85,0,2,571,243,0,0,0,0,12.95185,77.69642,13.24373,77.70915
132565,403,28,0,2,1192,83,0,0,0,0,12.97677,77.5727,12.92415,77.67229
132575,22215,12,0,2,293,1069,0,0,0,0,12.849482,77.663187,12.949764,77.643524
132582,22218,12,0,2,585,58,0,0,0,0,12.97677,77.5727,12.88963,77.60119
132584,22219,12,0,2,849,186,0,0,0,0,12.95434,77.60072,12.80257,77.70453
132586,22220,12,0,1,1086,0,15,32,0,0,12.907487,77.64729,0,0
132593,18298,24,0,2,1192,832,0,0,0,0,12.97677,77.5727,12.88019,77.64558
132601,22224,12,0,2,1084,585,0,0,0,0,12.892657,77.581866,12.97677,77.5727
132603,22225,12,0,2,1173,963,0,0,0,0,12.959979,77.647998,12.99111,77.59204
132613,22231,85,0,2,1286,393,0,0,0,0,12.973448,77.62032,13.19956,77.70688
132622,22237,12,0,1,393,0,15,29,0,0,13.19956,77.70688,0,0
132636,22244,12,0,2,977,1098,0,0,0,0,12.969933,77.533286,12.93652,77.54481
132647,19489,12,0,2,393,308,0,0,1,0,13.19956,77.70688,12.99049,77.69798
132654,21893,12,0,2,156,1384,0,0,0,0,13.02622,77.70143,13.02853,77.54625
132655,22253,12,0,2,393,58,0,0,0,0,13.19956,77.70688,12.88963,77.60119
132660,22256,12,0,2,1181,572,0,0,0,0,12.97896,77.67345,12.91873,77.61494
132680,18929,12,0,2,571,1010,0,0,0,0,12.95185,77.69642,12.96691,77.74935
132691,4141,85,0,2,1010,393,0,0,0,0,12.96691,77.74935,13.19956,77.70688
132696,19545,12,0,2,105,1334,0,0,1,0,13.01766,77.64503,13.050994,77.593661
132711,22284,28,0,2,207,1021,0,0,0,0,13.00435,77.61642,13.02853,77.54625
132726,18034,12,0,2,1183,1371,0,0,0,0,12.965563,77.668576,13.000418,77.674835
132735,22299,12,0,2,1150,393,0,0,0,0,12.99287,77.71662,13.19956,77.70688
132746,20764,12,0,2,1192,172,0,0,1,0,12.97677,77.5727,12.97091,77.6305
132753,16599,12,0,2,269,293,0,0,0,0,12.9744,77.69183,12.849482,77.663187
132765,15235,85,0,2,977,393,0,0,0,0,12.969933,77.533286,13.19956,77.70688
132774,18939,12,0,2,571,585,0,0,0,0,12.95185,77.69642,12.97677,77.5727
132779,20764,12,1,3,172,0,0,0,0,0,12.97091,77.6305,0,0
132789,19545,12,0,2,1068,105,0,0,1,0,13.044009,77.606805,13.01766,77.64503
132803,22333,12,0,2,1120,585,0,0,0,0,12.89724,77.61065,12.97677,77.5727
132805,21323,12,0,2,83,776,0,0,0,0,12.92415,77.67229,13.01508,77.67796
132811,92,12,0,2,585,693,0,0,1,0,12.97677,77.5727,12.90868,77.60398
132818,815,85,0,2,393,271,0,0,1,0,13.19956,77.70688,12.95641,77.64076
132819,6026,12,0,2,105,1120,0,0,0,0,13.01766,77.64503,12.89724,77.61065
132821,22339,12,1,3,1263,0,0,0,0,0,12.96897,77.59456,0,0
132822,17826,28,0,2,689,393,0,0,1,0,12.97672,77.64927,13.19956,77.70688
132823,22342,12,0,2,776,849,0,0,0,0,13.01508,77.67796,12.95434,77.60072
132830,22297,12,0,2,1010,1166,0,0,0,0,12.96691,77.74935,12.997198,77.669514
132838,4491,54,0,1,292,0,0,32,1,0,12.93944,77.62923,0,0
132839,22350,12,0,2,136,585,0,0,0,0,12.90796,77.62418,12.97677,77.5727
